AtmoSud

Conditions Générales d'utilisation: 

 Diffusion libre pour une réutilisation ultérieure des données dans les conditions ci-dessous : 
 – Toute utilisation partielle ou totale de ces données doit faire référence à AtmoSud en terme de "AtmoSud - Inventaire énergétique et d'émissions de polluants et gaz à effet de serre". 
 – Données non rediffusées en cas de modification ultérieure des données. 
 
 Les données contenues dans ce document restent la propriété d'AtmoSud.
 AtmoSud peut rediffuser ce document à d'autres destinataires. 

"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","CADENET (84)","Tous secteurs","Toutes énergies","prg100.3ges","15542880.2","kg"
"2007","CADEROUSSE (84)","Tous secteurs","Toutes énergies","prg100.3ges","17289067.2","kg"
"2007","CADOLIVE (13)","Tous secteurs","Toutes énergies","prg100.3ges","4028251.1","kg"
"2007","CAGNES-SUR-MER (06)","Tous secteurs","Toutes énergies","prg100.3ges","217190947.3","kg"
"2007","CAILLE (06)","Tous secteurs","Toutes énergies","prg100.3ges","1197906.3","kg"
"2007","CAIRANNE (84)","Tous secteurs","Toutes énergies","prg100.3ges","9930890.2","kg"
"2007","CAIRANNE (84)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CALLAS (83)","Tous secteurs","Toutes énergies","prg100.3ges","35507706.3","kg"
"2007","CALLIAN (83)","Tous secteurs","Toutes énergies","prg100.3ges","11298101.3","kg"
"2007","CAMARET-SUR-AIGUES (84)","Tous secteurs","Toutes énergies","prg100.3ges","16862276.3","kg"
"2007","CAMARET-SUR-AIGUES (84)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CAMPS-LA-SOURCE (83)","Tous secteurs","Toutes énergies","prg100.3ges","7985608.8","kg"
"2007","CANNES (06)","Tous secteurs","Toutes énergies","prg100.3ges","263610318.0","kg"
"2007","CANNES (06)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CANTARON (06)","Tous secteurs","Toutes énergies","prg100.3ges","5900511.5","kg"
"2007","CAP-D'AIL (06)","Tous secteurs","Toutes énergies","prg100.3ges","31441434.4","kg"
"2007","CARCÈS (83)","Tous secteurs","Toutes énergies","prg100.3ges","10049944.8","kg"
"2007","CARNOULES (83)","Tous secteurs","Toutes énergies","prg100.3ges","20050468.5","kg"
"2007","CARNOUX-EN-PROVENCE (13)","Tous secteurs","Toutes énergies","prg100.3ges","14256485.6","kg"
"2007","CAROMB (84)","Tous secteurs","Toutes énergies","prg100.3ges","10778037.3","kg"
"2007","CARPENTRAS (84)","Tous secteurs","Toutes énergies","prg100.3ges","94242537.5","kg"
"2007","CARPENTRAS (84)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CARQUEIRANNE (83)","Tous secteurs","Toutes énergies","prg100.3ges","30920879.2","kg"
"2007","CARROS (06)","Tous secteurs","Toutes énergies","prg100.3ges","50194292.2","kg"
"2007","CARRY-LE-ROUET (13)","Tous secteurs","Toutes énergies","prg100.3ges","18365332.3","kg"
"2007","CASENEUVE (84)","Tous secteurs","Toutes énergies","prg100.3ges","2822341.3","kg"
"2007","CASSIS (13)","Tous secteurs","Toutes énergies","prg100.3ges","59421624.5","kg"
"2007","CASTAGNIERS (06)","Tous secteurs","Toutes énergies","prg100.3ges","15635709.5","kg"
"2007","CASTELLANE (04)","Tous secteurs","Toutes énergies","prg100.3ges","15939766.8","kg"
"2007","CASTELLAR (06)","Tous secteurs","Toutes énergies","prg100.3ges","1978513.1","kg"
"2007","CASTELLET (84)","Tous secteurs","Toutes énergies","prg100.3ges","1404834.1","kg"
"2007","CASTELLET-LÈS-SAUSSES (04)","Tous secteurs","Toutes énergies","prg100.3ges","1147987.5","kg"
"2007","CASTILLON (06)","Tous secteurs","Toutes énergies","prg100.3ges","11665258.3","kg"
"2007","CAUMONT-SUR-DURANCE (84)","Tous secteurs","Toutes énergies","prg100.3ges","25647532.2","kg"
"2007","CAUSSOLS (06)","Tous secteurs","Toutes énergies","prg100.3ges","3017607.1","kg"
"2007","CAVAILLON (84)","Tous secteurs","Toutes énergies","prg100.3ges","93452280.3","kg"
"2007","CAVAILLON (84)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CAVALAIRE-SUR-MER (83)","Tous secteurs","Toutes énergies","prg100.3ges","19055773.9","kg"
"2007","CEILLAC (05)","Tous secteurs","Toutes énergies","prg100.3ges","2888194.7","kg"
"2007","CÉRESTE (04)","Tous secteurs","Toutes énergies","prg100.3ges","8875138.4","kg"
"2007","CERVIÈRES (05)","Tous secteurs","Toutes énergies","prg100.3ges","3679338.7","kg"
"2007","CEYRESTE (13)","Tous secteurs","Toutes énergies","prg100.3ges","15272228.0","kg"
"2007","CHABESTAN (05)","Tous secteurs","Toutes énergies","prg100.3ges","2913062.5","kg"
"2007","CHABOTTES (05)","Tous secteurs","Toutes énergies","prg100.3ges","4769667.9","kg"
"2007","CHAMPCELLA (05)","Tous secteurs","Toutes énergies","prg100.3ges","977415.5","kg"
"2007","CHAMPOLÉON (05)","Tous secteurs","Toutes énergies","prg100.3ges","1952428.3","kg"
"2007","CHAMPTERCIER (04)","Tous secteurs","Toutes énergies","prg100.3ges","4398066.0","kg"
"2007","CHANOUSSE (05)","Tous secteurs","Toutes énergies","prg100.3ges","916809.6","kg"
"2007","CHARLEVAL (13)","Tous secteurs","Toutes énergies","prg100.3ges","7886576.3","kg"
"2007","CHÂTEAU-ARNOUX-SAINT-AUBAN (04)","Tous secteurs","Toutes énergies","prg100.3ges","24277626.1","kg"
"2007","CHÂTEAU-ARNOUX-SAINT-AUBAN (04)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CHÂTEAUDOUBLE (83)","Tous secteurs","Toutes énergies","prg100.3ges","3873815.5","kg"
"2007","CHÂTEAUFORT (04)","Tous secteurs","Toutes énergies","prg100.3ges","805857.1","kg"
"2007","CHÂTEAUNEUF-DE-GADAGNE (84)","Tous secteurs","Toutes énergies","prg100.3ges","14314154.1","kg"
"2007","CHÂTEAUNEUF-D'ENTRAUNES (06)","Tous secteurs","Toutes énergies","prg100.3ges","209370.0","kg"
"2007","CHÂTEAUNEUF-D'OZE (05)","Tous secteurs","Toutes énergies","prg100.3ges","931666.4","kg"
"2007","CHÂTEAUNEUF-DU-PAPE (84)","Tous secteurs","Toutes énergies","prg100.3ges","13431527.2","kg"
"2007","CHÂTEAUNEUF-GRASSE (06)","Tous secteurs","Toutes énergies","prg100.3ges","12496833.3","kg"
"2007","CHÂTEAUNEUF-LE-ROUGE (13)","Tous secteurs","Toutes énergies","prg100.3ges","58093205.7","kg"
"2007","CHÂTEAUNEUF-LES-MARTIGUES (13)","Tous secteurs","Toutes énergies","prg100.3ges","230645143.6","kg"
